jour,pas,value
21/12,0h - 1h,Consommation normale
21/12,1h - 2h,Consommation normale
21/12,2h - 3h,Consommation normale
21/12,3h - 4h,Consommation normale
21/12,4h - 5h,Consommation normale
21/12,5h - 6h,Consommation normale
21/12,6h - 7h,Consommation normale
21/12,7h - 8h,Consommation normale
21/12,8h - 9h,Consommation normale
21/12,9h - 10h,Consommation normale
21/12,10h - 11h,Consommation normale
21/12,11h - 12h,Consommation normale
21/12,12h - 13h,Consommation normale
21/12,13h - 14h,Consommation normale
21/12,14h - 15h,Consommation normale
21/12,15h - 16h,Consommation normale
21/12,16h - 17h,Consommation normale
21/12,17h - 18h,Consommation normale
21/12,18h - 19h,Consommation normale
21/12,19h - 20h,Consommation normale
21/12,20h - 21h,Consommation normale
21/12,21h - 22h,Consommation normale
21/12,22h - 23h,Consommation normale
21/12,23h - 24h,Consommation normale
22/12,0h - 1h,Consommation normale
22/12,1h - 2h,Consommation normale
22/12,2h - 3h,Consommation normale
22/12,3h - 4h,Consommation normale
22/12,4h - 5h,Consommation normale
22/12,5h - 6h,Consommation normale
22/12,6h - 7h,Consommation normale
22/12,7h - 8h,Consommation normale
22/12,8h - 9h,Consommation normale
22/12,9h - 10h,Consommation normale
22/12,10h - 11h,Consommation normale
22/12,11h - 12h,Consommation normale
22/12,12h - 13h,Consommation normale
22/12,13h - 14h,Consommation normale
22/12,14h - 15h,Consommation normale
22/12,15h - 16h,Consommation normale
22/12,16h - 17h,Consommation normale
22/12,17h - 18h,Consommation normale
22/12,18h - 19h,Consommation normale
22/12,19h - 20h,Consommation normale
22/12,20h - 21h,Consommation normale
22/12,21h - 22h,Consommation normale
22/12,22h - 23h,Consommation normale
22/12,23h - 24h,Consommation normale
23/12,0h - 1h,Consommation normale
23/12,1h - 2h,Consommation normale
23/12,2h - 3h,Consommation normale
23/12,3h - 4h,Consommation normale
23/12,4h - 5h,Consommation normale
23/12,5h - 6h,Consommation normale
23/12,6h - 7h,Consommation normale
23/12,7h - 8h,Consommation normale
23/12,8h - 9h,Consommation normale
23/12,9h - 10h,Consommation normale
23/12,10h - 11h,Consommation normale
23/12,11h - 12h,Consommation normale
23/12,12h - 13h,Consommation normale
23/12,13h - 14h,Consommation normale
23/12,14h - 15h,Consommation normale
23/12,15h - 16h,Consommation normale
23/12,16h - 17h,Consommation normale
23/12,17h - 18h,Consommation normale
23/12,18h - 19h,Consommation normale
23/12,19h - 20h,Consommation normale
23/12,20h - 21h,Consommation normale
23/12,21h - 22h,Consommation normale
23/12,22h - 23h,Consommation normale
23/12,23h - 24h,Consommation normale
